瘤痢,斥档,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公
,,惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚)
陛魂,2000,2000-03-27,0老,2000-04-12,3老, , 
陛魂,2001,2001-03-26,-1老,2001-04-09,0老, , 
陛魂,2002,2002-03-22,-5老,2002-03-31,-9老, , 
陛魂,2003,2003-03-27,0老,2003-04-06,-3老, , 
陛魂,2004,2004-03-21,-6老,2004-04-02,-7老, , 
陛魂,2005,2005-03-31,4老,2005-04-11,2老, , 
陛魂,2006,2006-03-29,2老,2006-04-09,0老, , 
陛魂,2007,2007-03-23,-4老,2007-04-05,-4老, , 
陛魂,2008,2008-03-26,-1老,2008-04-06,-3老, , 
焊飞,2000,2000-03-22,-4老,2000-04-12,2老, , 
焊飞,2001,2001-03-24,-2老,2001-04-10,0老, , 
焊飞,2002,2002-03-22,-4老,2002-04-01,-9老, , 
焊飞,2003,2003-03-26,0老,2003-04-04,-6老, , 
焊飞,2004,2004-03-20,-6老,2004-04-06,-4老, , 
焊飞,2005,2005-03-31,5老,2005-04-14,4老, , 
焊飞,2006,2006-03-24,-2老,2006-04-09,-1老, , 
焊飞,2007,2007-03-20,-6老,2007-04-05,-5老, , 
焊飞,2008,2008-03-26,0老,2008-04-08,-2老, , 
焊飞,2009,2009-03-18,-8老,2009-04-07,-3老, , 
焊飞,2010,2010-03-27,1老,2010-04-09,-1老, , 
焊飞,2011,2011-04-01,6老,2011-04-15,5老, , 
焊飞,2012,2012-04-05,10老,2012-04-16,6老, , 
焊飞,2013,2013-03-24,-2老,2013-04-15,5老, , 
焊飞,2014,2014-03-28,2老,2014-04-03,-7老, , 
焊飞,2015,2015-03-30,4老,2015-04-09,-1老, , 
何咯,2000,2000-03-27,2老,2000-04-11,3老,2000-04-19, 
何咯,2001,2001-03-30,5老,2001-04-10,2老,2001-04-15, 
何咯,2002,2002-03-27,2老,2002-04-04,-4老,2002-04-07, 
何咯,2003,2003-03-24,-1老,2003-04-02,-6老,2003-04-05, 
何咯,2004,2004-03-23,-2老,2004-03-31,-8老,2004-04-08, 
何咯,2005,2005-03-30,5老,2005-04-09,1老, , 
何咯,2006,2006-03-26,1老,2006-04-09,1老, , 
何咯,2007,2007-03-19,-6老,2007-03-30,-9老, , 
何咯,2008,2008-03-27,2老,2008-04-03,-5老, , 
辑魂,2000,2000-03-30,2老,2000-04-15,4老, , 
辑魂,2001,2001-03-28,0老,2001-04-11,0老, , 
辑魂,2002,2002-03-26,-2老,2002-04-02,-9老, , 
辑魂,2003,2003-03-28,0老,2003-04-07,-4老, , 
辑魂,2004,2004-03-29,1老,2004-04-07,-4老, , 
辑魂,2005,2005-04-09,12老,2005-04-13,2老, , 
辑魂,2006,2006-04-03,6老,2006-04-09,-2老, , 
辑魂,2007,2007-03-29,1老,2007-04-09,-2老, , 
辑魂,2008,2008-03-28,0老,2008-04-06,-5老, , 
辑魂,2009,2009-03-23,-5老,2009-04-05,-6老, , 
辑魂,2010,2010-03-24,-4老,2010-04-14,3老, , 
辑魂,2011,2011-04-01,4老,2011-04-14,3老, , 
辑魂,2012,2012-03-30,2老,2012-04-16,5老, , 
辑魂,2013,2013-04-12,15老,2013-04-20,9老, , 
辑魂,2014,2014-03-26,-2老,2014-04-03,-8老, , 
辑魂,2015,2015-03-25,-3老,2015-04-07,-4老,2015-04-10, 
辑魂,2016,2016-03-27,-1老,2016-04-06,-5老,2016-04-09, 
辑魂,2017,2017-03-29,1老,2017-04-10,-1老,2017-04-12, 
玫救,2000,2000-04-02,4老,2000-04-15,5老, , 
玫救,2001,2001-03-31,2老,2001-04-09,-1老, , 
玫救,2002,2002-03-22,-7老,2002-03-30,-11老, , 
玫救,2003,2003-03-22,-7老,2003-04-07,-3老, , 
玫救,2004,2004-03-24,-5老,2004-04-05,-5老, , 
玫救,2005,2005-04-01,3老,2005-04-10,0老, , 
玫救,2006,2006-04-05,7老,2006-04-10,0老, , 
玫救,2007,2007-03-28,-1老,2007-04-06,-4老, , 
玫救,2008,2008-03-24,-5老,2008-04-14,4老, , 
玫救,2009,2009-03-23,-6老,2009-04-04,-6老, , 
玫救,2010,2010-04-01,3老,2010-04-10,0老, , 
玫救,2011,2011-04-04,6老,2011-04-13,3老, , 
玫救,2012,2012-03-30,1老,2012-04-16,6老, , 
玫救,2013,2013-03-23,-6老,2013-04-15,5老, , 
玫救,2014,2014-03-24,-5老,2014-03-31,-10老, , 
玫救,2015,2015-03-27,-2老,2015-04-08,-2老,2015-04-12, 
全己,2018,2018-03-29, ,2018-04-04, ,2018-04-06, 
全己,2019,2019-03-29, ,2019-04-07, ,2019-04-10, 
全己,2020,2020-03-24, ,2020-04-01, ,2020-04-05, 
全己,2021,2021-03-23, ,2021-03-31, ,2021-04-04, 
全己,2022,2022-04-01, ,2022-04-08, ,2022-04-11, 
全己,2023,2023-03-24, ,2023-03-30, ,2023-04-01, 
全己,2024,2024-03-29, ,2024-04-07, ,2024-04-11, 
